
N = 100 Max = 10000
                       Mixed           |Sorted          |Sorted (reverse)|Duplicate values|
Counting Sort        : OK 3.04       ms|OK 1.92       ms|OK 1.88       ms|OK 1.98       ms|
Insertion Sort       : OK 0.26       ms|OK 0.01       ms|OK 0.48       ms|OK 0.23       ms|
Introsort            : OK 0.07       ms|OK 0.02       ms|OK 0.03       ms|OK 0.05       ms|
Merge Sort           : OK 0.2        ms|OK 0.14       ms|OK 0.14       ms|OK 0.16       ms|
Merge Sort(optimized): OK 0.13       ms|OK 0.09       ms|OK 0.12       ms|OK 0.12       ms|
Quick Sort (median 3): OK 0.14       ms|OK 0.06       ms|OK 0.06       ms|OK 0.14       ms|
Quick Sort (middle)  : OK 0.09       ms|OK 0.04       ms|OK 0.05       ms|OK 0.1        ms|
Radix_16             : OK 0.46       ms|OK 0.43       ms|OK 0.42       ms|OK 0.43       ms|
Radix_2048           : OK 4.18       ms|OK 4.01       ms|OK 4.19       ms|OK 4.11       ms|
Radix_256            : OK 0.94       ms|OK 0.85       ms|OK 0.85       ms|OK 0.79       ms|
std::sort            : OK 0.11       ms|OK 0.05       ms|OK 0.07       ms|OK 0.06       ms|

